appt_date,geog_name,geog_code,time_between_booking_and_appt,geog_ons_code,weekday,breakdown,appt_mode,appt_count,hcp_type,appt_status,geog_type
2022-06-04,ALL,ALL,More than 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,714,ALL,ALL,ALL
2022-06-06,ALL,ALL,2 to 7 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,169542,ALL,ALL,ALL
2022-06-08,ALL,ALL,1 Day,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,39,ALL,ALL,ALL
2022-06-07,ALL,ALL,More than 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,52135,ALL,ALL,ALL
2022-06-08,ALL,ALL,8 to 14 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,182648,ALL,ALL,ALL
2022-06-06,ALL,ALL,8 to 14 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,163934,ALL,ALL,ALL
2022-06-01,ALL,ALL,8 to 14 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,124893,ALL,ALL,ALL
2022-06-19,ALL,ALL,15 to 21 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,166,ALL,ALL,ALL
2022-06-14,ALL,ALL,2 to 7 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,54,ALL,ALL,ALL
2022-06-17,ALL,ALL,8 to 14 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,16658,ALL,ALL,ALL
2022-06-30,ALL,ALL,More than 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,68384,ALL,ALL,ALL
2022-06-26,ALL,ALL,More than 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,608,ALL,ALL,ALL
2022-06-13,ALL,ALL,22 to 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,70206,ALL,ALL,ALL
2022-06-17,ALL,ALL,15 to 21 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,76786,ALL,ALL,ALL
2022-06-01,ALL,ALL,Same Day,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,430258,ALL,ALL,ALL
2022-06-11,ALL,ALL,More than 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2077,ALL,ALL,ALL
2022-06-09,ALL,ALL,8 to 14 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,185838,ALL,ALL,ALL
2022-06-20,ALL,ALL,15 to 21 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,65341,ALL,ALL,ALL
2022-06-25,ALL,ALL,More than 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2184,ALL,ALL,ALL
2022-06-01,ALL,ALL,22 to 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,46750,ALL,ALL,ALL
2022-06-10,ALL,ALL,15 to 21 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,109590,ALL,ALL,ALL
2022-06-03,ALL,ALL,15 to 21 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,183,ALL,ALL,ALL
2022-06-23,ALL,ALL,More than 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,61880,ALL,ALL,ALL
2022-06-16,ALL,ALL,22 to 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,72938,ALL,ALL,ALL
2022-06-18,ALL,ALL,22 to 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2459,ALL,ALL,ALL
2022-06-24,ALL,ALL,22 to 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,49126,ALL,ALL,ALL
2022-06-20,ALL,ALL,More than 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,55767,ALL,ALL,ALL
2022-06-17,ALL,ALL,22 to 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,66038,ALL,ALL,ALL
2022-06-10,ALL,ALL,More than 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,50731,ALL,ALL,ALL
2022-06-13,ALL,ALL,2 to 7 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,33625,ALL,ALL,ALL
2022-06-25,ALL,ALL,15 to 21 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,378,ALL,ALL,ALL
2022-06-19,ALL,ALL,More than 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,138,ALL,ALL,ALL
2022-06-15,ALL,ALL,More than 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,57400,ALL,ALL,ALL
2022-06-06,ALL,ALL,22 to 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,60427,ALL,ALL,ALL
2022-06-04,ALL,ALL,1 Day,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,158,ALL,ALL,ALL
2022-06-04,ALL,ALL,8 to 14 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,3409,ALL,ALL,ALL
2022-06-12,ALL,ALL,8 to 14 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,352,ALL,ALL,ALL
2022-06-12,ALL,ALL,15 to 21 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,375,ALL,ALL,ALL
2022-06-16,ALL,ALL,15 to 21 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,107919,ALL,ALL,ALL
2022-06-15,ALL,ALL,8 to 14 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,60230,ALL,ALL,ALL
2022-06-11,ALL,ALL,22 to 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2480,ALL,ALL,ALL
2022-06-10,ALL,ALL,22 to 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,63807,ALL,ALL,ALL
2022-06-30,ALL,ALL,22 to 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,6190,ALL,ALL,ALL
2022-06-04,ALL,ALL,15 to 21 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,1574,ALL,ALL,ALL
2022-06-05,ALL,ALL,More than 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,107,ALL,ALL,ALL
2022-06-18,ALL,ALL,8 to 14 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,722,ALL,ALL,ALL
2022-06-21,ALL,ALL,More than 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,60677,ALL,ALL,ALL
2022-06-21,ALL,ALL,22 to 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,73855,ALL,ALL,ALL
2022-06-29,ALL,ALL,22 to 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,26017,ALL,ALL,ALL
2022-06-20,ALL,ALL,22 to 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,74041,ALL,ALL,ALL
2022-06-09,ALL,ALL,15 to 21 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,120819,ALL,ALL,ALL
2022-06-16,ALL,ALL,8 to 14 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,19530,ALL,ALL,ALL
2022-06-03,ALL,ALL,2 to 7 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,1139,ALL,ALL,ALL
2022-06-23,ALL,ALL,15 to 21 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,10188,ALL,ALL,ALL
2022-06-16,ALL,ALL,More than 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,58872,ALL,ALL,ALL
2022-06-20,ALL,ALL,8 to 14 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,23364,ALL,ALL,ALL
2022-06-09,ALL,ALL,More than 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,58090,ALL,ALL,ALL
2022-06-14,ALL,ALL,22 to 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,72220,ALL,ALL,ALL
2022-06-09,ALL,ALL,2 to 7 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,34628,ALL,ALL,ALL
2022-06-22,ALL,ALL,22 to 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,70367,ALL,ALL,ALL
2022-06-23,ALL,ALL,22 to 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,69190,ALL,ALL,ALL
2022-06-02,ALL,ALL,Same Day,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,1973,ALL,ALL,ALL
2022-06-06,ALL,ALL,More than 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,45321,ALL,ALL,ALL
2022-06-12,ALL,ALL,22 to 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,173,ALL,ALL,ALL
2022-06-02,ALL,ALL,22 to 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,284,ALL,ALL,ALL
2022-06-08,ALL,ALL,15 to 21 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,118034,ALL,ALL,ALL
2022-06-22,ALL,ALL,More than 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,60937,ALL,ALL,ALL
2022-06-02,ALL,ALL,1 Day,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,735,ALL,ALL,ALL
2022-06-02,ALL,ALL,Unknown / Data Quality,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,77,ALL,ALL,ALL
2022-06-19,ALL,ALL,8 to 14 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,33,ALL,ALL,ALL
2022-06-04,ALL,ALL,Unknown / Data Quality,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,55,ALL,ALL,ALL
2022-06-03,ALL,ALL,Unknown / Data Quality,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,18,ALL,ALL,ALL
2022-06-06,ALL,ALL,Unknown / Data Quality,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,5,ALL,ALL,ALL
2022-06-07,ALL,ALL,Unknown / Data Quality,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,1,ALL,ALL,ALL
2022-06-05,ALL,ALL,Unknown / Data Quality,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,25,ALL,ALL,ALL
2022-06-22,ALL,ALL,ALL,ALL,Wed,by_date,ALL,164065,ALL,ALL,ALL
2022-06-18,ALL,ALL,ALL,ALL,Sat,by_date,ALL,7636,ALL,ALL,ALL
2022-06-06,ALL,ALL,ALL,ALL,Mon,by_date,ALL,860072,ALL,ALL,ALL
2022-06-02,ALL,ALL,ALL,ALL,Thu,by_date,ALL,4995,ALL,ALL,ALL
2022-06-05,ALL,ALL,ALL,ALL,Sun,by_date,ALL,3703,ALL,ALL,ALL
2022-06-29,ALL,ALL,ALL,ALL,Wed,by_date,ALL,90986,ALL,ALL,ALL
2022-06-28,ALL,ALL,ALL,ALL,Tue,by_date,ALL,104839,ALL,ALL,ALL
2022-06-19,ALL,ALL,ALL,ALL,Sun,by_date,ALL,503,ALL,ALL,ALL
2022-06-23,ALL,ALL,ALL,ALL,Thu,by_date,ALL,141258,ALL,ALL,ALL
2022-06-03,ALL,ALL,ALL,ALL,Fri,by_date,ALL,4208,ALL,ALL,ALL
2022-06-16,ALL,ALL,ALL,ALL,Thu,by_date,ALL,259259,ALL,ALL,ALL
2022-06-17,ALL,ALL,ALL,ALL,Fri,by_date,ALL,212444,ALL,ALL,ALL
2022-06-12,ALL,ALL,ALL,ALL,Sun,by_date,ALL,1237,ALL,ALL,ALL
2022-06-11,ALL,ALL,ALL,ALL,Sat,by_date,ALL,14740,ALL,ALL,ALL
2022-06-07,ALL,ALL,ALL,ALL,Tue,by_date,ALL,609922,ALL,ALL,ALL
2022-06-09,ALL,ALL,ALL,ALL,Thu,by_date,ALL,472746,ALL,ALL,ALL
2022-06-15,ALL,ALL,ALL,ALL,Wed,by_date,ALL,298517,ALL,ALL,ALL
2022-06-08,ALL,ALL,ALL,ALL,Wed,by_date,ALL,517872,ALL,ALL,ALL
2022-06-10,ALL,ALL,ALL,ALL,Fri,by_date,ALL,387895,ALL,ALL,ALL
2022-06-25,ALL,ALL,ALL,ALL,Sat,by_date,ALL,4013,ALL,ALL,ALL
2022-06-14,ALL,ALL,ALL,ALL,Tue,by_date,ALL,343010,ALL,ALL,ALL
2022-06-26,ALL,ALL,ALL,ALL,Sun,by_date,ALL,764,ALL,ALL,ALL
2022-06-27,ALL,ALL,ALL,ALL,Mon,by_date,ALL,114957,ALL,ALL,ALL
2022-06-20,ALL,ALL,ALL,ALL,Mon,by_date,ALL,218513,ALL,ALL,ALL
2022-06-04,ALL,ALL,ALL,ALL,Sat,by_date,ALL,15211,ALL,ALL,ALL
2022-06-24,ALL,ALL,ALL,ALL,Fri,by_date,ALL,113424,ALL,ALL,ALL
2022-06-01,ALL,ALL,ALL,ALL,Wed,by_date,ALL,963679,ALL,ALL,ALL
2022-06-13,ALL,ALL,ALL,ALL,Mon,by_date,ALL,386275,ALL,ALL,ALL
2022-06-30,ALL,ALL,ALL,ALL,Thu,by_date,ALL,74574,ALL,ALL,ALL
2022-06-21,ALL,ALL,ALL,ALL,Tue,by_date,ALL,189704,ALL,ALL,ALL
ALL,England,ENG,ALL,ENG,ALL,national_count_by_appt_mode,Telephone,1412106,ALL,ALL,National
ALL,England,ENG,ALL,ENG,ALL,national_count_by_appt_mode,Home Visit,27235,ALL,ALL,National
ALL,England,ENG,ALL,ENG,ALL,national_count_by_appt_mode,Unknown,167989,ALL,ALL,National
ALL,England,ENG,ALL,ENG,ALL,national_count_by_appt_mode,Face-to-Face,4931243,ALL,ALL,National
ALL,England,ENG,ALL,ENG,ALL,national_count_by_appt_mode,Video/Online,42448,ALL,ALL,National
ALL,South East,Y59,ALL,E40000005,ALL,by_region,ALL,981925,ALL,ALL,ALL
ALL,London,Y56,ALL,E40000003,ALL,by_region,ALL,587217,ALL,ALL,ALL
ALL,Midlands,Y60,ALL,E40000008,ALL,by_region,ALL,1255268,ALL,ALL,ALL
ALL,North East and Yorkshire,Y63,ALL,E40000009,ALL,by_region,ALL,1291967,ALL,ALL,ALL
ALL,South West,Y58,ALL,E40000006,ALL,by_region,ALL,903765,ALL,ALL,ALL
ALL,North West,Y62,ALL,E40000010,ALL,by_region,ALL,672868,ALL,ALL,ALL
ALL,East of England,Y61,ALL,E40000007,ALL,by_region,ALL,888011,ALL,ALL,ALL
ALL,NHS Lincolnshire CCG,71E,ALL,E38000238,ALL,by_ccg,ALL,111696,ALL,ALL,ALL
ALL,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,ALL,E38000249,ALL,by_ccg,ALL,139999,ALL,ALL,ALL
ALL,NHS Stoke on Trent CCG,05W,ALL,E38000175,ALL,by_ccg,ALL,13760,ALL,ALL,ALL
ALL,NHS North Staffordshire CCG,05G,ALL,E38000126,ALL,by_ccg,ALL,13064,ALL,ALL,ALL
ALL,NHS Wirral CCG,12F,ALL,E38000208,ALL,by_ccg,ALL,46712,ALL,ALL,ALL
ALL,NHS Bassetlaw CCG,02Q,ALL,E38000008,ALL,by_ccg,ALL,20085,ALL,ALL,ALL
ALL,NHS St Helens CCG,01X,ALL,E38000172,ALL,by_ccg,ALL,14204,ALL,ALL,ALL
ALL,NHS Trafford CCG,02A,ALL,E38000187,ALL,by_ccg,ALL,10682,ALL,ALL,ALL
ALL,NHS Cannock Chase CCG,04Y,ALL,E38000028,ALL,by_ccg,ALL,10974,ALL,ALL,ALL
ALL,NHS Brighton and Hove CCG,09D,ALL,E38000021,ALL,by_ccg,ALL,36303,ALL,ALL,ALL
ALL,NHS Salford CCG,01G,ALL,E38000143,ALL,by_ccg,ALL,26450,ALL,ALL,ALL
ALL,NHS Black Country and West Birmingham CCG,D2P2L,ALL,E38000250,ALL,by_ccg,ALL,118626,ALL,ALL,ALL
ALL,NHS Chorley and South Ribble CCG,00X,ALL,E38000034,ALL,by_ccg,ALL,21778,ALL,ALL,ALL
ALL,NHS East Riding of Yorkshire CCG,02Y,ALL,E38000052,ALL,by_ccg,ALL,43223,ALL,ALL,ALL
ALL,NHS Bolton CCG,00T,ALL,E38000016,ALL,by_ccg,ALL,42249,ALL,ALL,ALL
ALL,NHS West Leicestershire CCG,04V,ALL,E38000201,ALL,by_ccg,ALL,61488,ALL,ALL,ALL
ALL,NHS Blackburn with Darwen CCG,00Q,ALL,E38000014,ALL,by_ccg,ALL,6835,ALL,ALL,ALL
ALL,NHS North East London CCG,A3A8R,ALL,E38000255,ALL,by_ccg,ALL,115934,ALL,ALL,ALL
ALL,NHS Liverpool CCG,99A,ALL,E38000101,ALL,by_ccg,ALL,22077,ALL,ALL,ALL
ALL,NHS Stafford and Surrounds CCG,05V,ALL,E38000173,ALL,by_ccg,ALL,16420,ALL,ALL,ALL
ALL,NHS Cheshire CCG,27D,ALL,E38000233,ALL,by_ccg,ALL,84946,ALL,ALL,ALL
ALL,NHS East Lancashire CCG,01A,ALL,E38000050,ALL,by_ccg,ALL,34652,ALL,ALL,ALL
ALL,NHS Sheffield CCG,03N,ALL,E38000146,ALL,by_ccg,ALL,95232,ALL,ALL,ALL
ALL,NHS West Essex CCG,07H,ALL,E38000197,ALL,by_ccg,ALL,26757,ALL,ALL,ALL
ALL,"NHS Heywood, Middleton and Rochdale CCG",01D,ALL,E38000080,ALL,by_ccg,ALL,21745,ALL,ALL,ALL
ALL,NHS Buckinghamshire CCG,14Y,ALL,E38000223,ALL,by_ccg,ALL,46071,ALL,ALL,ALL
ALL,NHS Shropshire and Telford and Wrekin CCG,M2L0M,ALL,E38000257,ALL,by_ccg,ALL,46249,ALL,ALL,ALL
ALL,NHS Tameside and Glossop CCG,01Y,ALL,E38000182,ALL,by_ccg,ALL,31396,ALL,ALL,ALL
ALL,NHS Bury CCG,00V,ALL,E38000024,ALL,by_ccg,ALL,6137,ALL,ALL,ALL
ALL,NHS Newcastle Gateshead CCG,13T,ALL,E38000212,ALL,by_ccg,ALL,60897,ALL,ALL,ALL
